num,kmh_mph,mph_kmh,kmh_kms,kmh_mh,kmh_ms,kmh_fph,kmh_fps,kmh_nmph,kmh_nmps,kmh_yph,kmh_yps,kmh_mach,kmh_knots,mph_mps,mph_mh,mph_ms,mph_fph,mph_fps,mph_nmph,mph_nmps,mph_yph,mph_yps,mph_mach,mph_knots,kmh_mph1,kmh_mph2,kmh_mph3,kmh_mph4,kmh_mph5,kmh_mph6,kmh_mph7,kmh_mph8,kmh_mph9,mph_kmh1,mph_kmh2,mph_kmh3,mph_kmh4,mph_kmh5,mph_kmh6,mph_kmh7,mph_kmh8,mph_kmh9
43,26.718953,69.201792,0.011944444,43000,11.94444444,141076.12,39.18781111,23.2181424,0.006449484,47025.37183,13.06260329,0.036053258,23.2181424,0.011944444,69201.792,19.22272,227040,63.06666667,37.365968,0.010379436,75680,21.02222222,0.056029,37.365968,26.7810901,26.8432272,26.9053643,26.9675014,27.0296385,27.0917756,27.1539127,27.2160498,27.2781869,69.3627264,69.5236608,69.6845952,69.8455296,70.006464,70.1673984,70.3283328,70.4892672,70.6502016
44,27.340324,70.811136,0.012222222,44000,12.22222222,144356.96,40.09915556,23.7580992,0.006599472,48118.98513,13.36638476,0.036891706,23.7580992,0.012222222,70811.136,19.66976,232320,64.53333333,38.234944,0.010620818,77440,21.51111111,0.057332,38.234944,27.4024611,27.4645982,27.5267353,27.5888724,27.6510095,27.7131466,27.7752837,27.8374208,27.8995579,70.9720704,71.1330048,71.2939392,71.4548736,71.615808,71.7767424,71.9376768,72.0986112,72.2595456
45,27.961695,72.42048,0.0125,45000,12.5,147637.8,41.0105,24.298056,0.00674946,49212.59842,13.67016623,0.037730154,24.298056,0.0125,72420.48,20.1168,237600,66,39.10392,0.0108622,79200,22,0.058635,39.10392,28.0238321,28.0859692,28.1481063,28.2102434,28.2723805,28.3345176,28.3966547,28.4587918,28.5209289,72.5814144,72.7423488,72.9032832,73.0642176,73.225152,73.3860864,73.5470208,73.7079552,73.8688896
46,28.583066,74.029824,0.012777778,46000,12.77777778,150918.64,41.92184444,24.8380128,0.006899448,50306.21172,13.9739477,0.038568602,24.8380128,0.012777778,74029.824,20.56384,242880,67.46666667,39.972896,0.011103582,80960,22.48888889,0.059938,39.972896,28.6452031,28.7073402,28.7694773,28.8316144,28.8937515,28.9558886,29.0180257,29.0801628,29.1422999,74.1907584,74.3516928,74.5126272,74.6735616,74.834496,74.9954304,75.1563648,75.3172992,75.4782336
47,29.204437,75.639168,0.013055556,47000,13.05555556,154199.48,42.83318889,25.3779696,0.007049436,51399.82502,14.27772917,0.03940705,25.3779696,0.013055556,75639.168,21.01088,248160,68.93333333,40.841872,0.011344964,82720,22.97777778,0.061241,40.841872,29.2665741,29.3287112,29.3908483,29.4529854,29.5151225,29.5772596,29.6393967,29.7015338,29.7636709,75.8001024,75.9610368,76.1219712,76.2829056,76.44384,76.6047744,76.7657088,76.9266432,77.0875776
48,29.825808,77.248512,0.013333333,48000,13.33333333,157480.32,43.74453333,25.9179264,0.007199424,52493.43832,14.58151064,0.040245498,25.9179264,0.013333333,77248.512,21.45792,253440,70.4,41.710848,0.011586347,84480,23.46666667,0.062544,41.710848,29.8879451,29.9500822,30.0122193,30.0743564,30.1364935,30.1986306,30.2607677,30.3229048,30.3850419,77.4094464,77.5703808,77.7313152,77.8922496,78.053184,78.2141184,78.3750528,78.5359872,78.6969216
49,30.447179,78.857856,0.013611111,49000,13.61111111,160761.16,44.65587778,26.4578832,0.007349412,53587.05162,14.88529212,0.041083946,26.4578832,0.013611111,78857.856,21.90496,258720,71.86666667,42.579824,0.011827729,86240,23.95555556,0.063847,42.579824,30.5093161,30.5714532,30.6335903,30.6957274,30.7578645,30.8200016,30.8821387,30.9442758,31.0064129,79.0187904,79.1797248,79.3406592,79.5015936,79.662528,79.8234624,79.9843968,80.1453312,80.3062656
50,31.06855,80.4672,0.013888889,50000,13.88888889,164042,45.56722222,26.99784,0.0074994,54680.66492,15.18907359,0.041922394,26.99784,0.013888889,80467.2,22.352,264000,73.33333333,43.4488,0.012069111,88000,24.44444444,0.06515,43.4488,31.1306871,31.1928242,31.2549613,31.3170984,31.3792355,31.4413726,31.5035097,31.5656468,31.6277839,80.6281344,80.7890688,80.9500032,81.1109376,81.271872,81.4328064,81.5937408,81.7546752,81.9156096
51,31.689921,82.076544,0.014166667,51000,14.16666667,167322.84,46.47856667,27.5377968,0.007649388,55774.27821,15.49285506,0.042760841,27.5377968,0.014166667,82076.544,22.79904,269280,74.8,44.317776,0.012310493,89760,24.93333333,0.066453,44.317776,31.7520581,31.8141952,31.8763323,31.9384694,32.0006065,32.0627436,32.1248807,32.1870178,32.2491549,82.2374784,82.3984128,82.5593472,82.7202816,82.881216,83.0421504,83.2030848,83.3640192,83.5249536
52,32.311292,83.685888,0.014444444,52000,14.44444444,170603.68,47.38991111,28.0777536,0.007799376,56867.89151,15.79663653,0.043599289,28.0777536,0.014444444,83685.888,23.24608,274560,76.26666667,45.186752,0.012551876,91520,25.42222222,0.067756,45.186752,32.3734291,32.4355662,32.4977033,32.5598404,32.6219775,32.6841146,32.7462517,32.8083888,32.8705259,83.8468224,84.0077568,84.1686912,84.3296256,84.49056,84.6514944,84.8124288,84.9733632,85.1342976
